Gabriel Rowe
Anita Carroll
Bonnie Curtis
Jeffrey Crawford
Norma Watkins
Mona Romero
Marianne Marsh
Angelica Matthews
Lora Francis
Judy Zimmerman
Alex Berry
Gladys Gardner
Keith Ortiz
Henry Phillips
Mandy Kennedy
Sherri Pierce
Spencer Higgins
Ron Wallace
Brooke Vasquez
Jerry Owen
Ben Diaz
Janet Poole
Bert Miles
Pat George
Joel Brady
Courtney Munoz
Tyrone Franklin
Angelina Erickson
Colin Joseph
Cecilia Cook
Krista Santiago
Victoria Stewart
Edwin Rhodes
Heidi Cobb
Israel Haynes
Delores Schmidt
Dianne Reed
Bryant Flores
Harvey Parks
Bruce Fleming
Eric Lawrence
Blanche Collier
Bobby Sutton
Emmett Todd
Jose Dennis
Judith Webb
Stanley Morgan
Preston Fields
Sammy Pena
Alma Huff
